Vendor_ID,Vendor_Name,V_Contact_Name,V_Contact_Number,V_Address,V_Email,V_Products,V_Category
SPL-019,"Knight, Hooper and Hernandez",Dustin Davis,713-547-8932,"USNV Roy, FPO AP 12594","DustinDavis@Knight,HooperandHernandez.com",Dining Table,Furniture
SPL-020,Vasquez and Sons,Chelsea Gardner,602-866-5715,"9757 Whitehead Bridge, Mackbury, ID 41566",Gardner@Vasquez and Sons.com,Tablet,Electronics
SPL-021,"White, Hill and Stein",William Lee,214-932-3031,"34061 Green Plaza Apt. 689, Orozcochester, MD 47356","WilliamLee@White,HillandStein.com",Voice Assistant,Smart Home Devices
SPL-022,Garcia-Williams,Stacy Jenkins,713-463-8742,"Unit 2923 Box 1516, DPO AP 15815",StacyJenkins@Garcia-Williams.com,Dish Rack,Home & Kitchen
SPL-023,Liu and Sons,Gregory Moore,323-499-2870,"995 Gutierrez Viaduct, Lisaburgh, KY 65068",Moore@Liu and Sons.com,Notebook,Office Supplies
SPL-024,"Grant, Jones and Long",Jo Barrett,212-793-3018,"5757 Charles Ramp, West Edwardside, IL 80608","JoBarrett@Grant,JonesandLong.com",Laptop,Electronics
SPL-025,Wheeler-Mccarthy,Jessica Morales,408-720-5434,"32169 Gonzalez Loop, Noblestad, WV 50835",JessicaMorales@Wheeler-Mccarthy.com,Broom,Cleaning & Household Essentials
SPL-026,Reynolds PLC,Danielle Jordan,713-923-2108,"937 Sara Burgs, South Ronnie, WA 58299",DanielleJordan@ReynoldsPLC.com,Bookshelf,Furniture
SPL-027,Barber and Sons,Stefanie Snyder,323-757-9398,"87710 Reid Knolls, Brandonberg, CT 14389",Snyder@Barber and Sons.com,Sunglasses,Accessories
SPL-028,Gibson LLC,Taylor Stewart,619-922-3968,"18710 Walker Land Suite 484, East Brittany, CA 07618",TaylorStewart@GibsonLLC.com,File Cabinet,Office Supplies
SPL-029,Solis and Sons,Matthew Lewis,210-513-5375,"9331 Logan Lake, Lake Reneeport, LA 66574",Lewis@Solis and Sons.com,Headphones,Electronics
SPL-030,Campbell-Avila,Jared Coleman,408-649-8477,"79165 Jennifer Route, Perryville, TX 46722",JaredColeman@Campbell-Avila.com,Blender,Home & Kitchen
SPL-031,"Lyons, Bradford and Anderson",Nathan Frost,312-680-4206,"8294 White Station Apt. 613, Watsonchester, IA 49970","NathanFrost@Lyons,BradfordandAnderson.com",Security Camera,Smart Home Devices
SPL-032,Chan Inc,Jackie Jackson,212-928-9028,"81294 Tucker Track Suite 334, West Christine, VA 75574",JackieJackson@ChanInc.com,Light Bulbs,Smart Home Devices
SPL-033,Chambers-Munoz,Amy Wiggins,214-140-3825,"2521 Jamie Freeway Apt. 997, New Richard, KY 70207",AmyWiggins@Chambers-Munoz.com,Belt,Accessories
SPL-034,Berger Ltd,Michelle Melton,619-519-7547,"697 Russo Corners, Washingtonshire, NV 65964",MichelleMelton@BergerLtd.com,Toaster,Home & Kitchen
SPL-035,Shaffer-Howell,Brian Dean,210-390-2224,"733 Charles Terrace, Chapmanburgh, OH 88479",BrianDean@Shaffer-Howell.com,Gaming Console,Electronics
SPL-036,Kelley Ltd,Sheila Schmidt,212-714-8376,"0260 Reed Street Suite 594, Timothyfurt, OH 22675",SheilaSchmidt@KelleyLtd.com,Scarf,Accessories
SPL-037,Hays-Jones,Kendra Young,713-346-5112,"9389 Summers Flat, Dennisland, PA 26262",KendraYoung@Hays-Jones.com,Mop Set,Cleaning & Household Essentials
SPL-038,Stewart-Thompson,Brittany Pierce,602-584-5215,"4104 Hernandez Plaza, Davidport, CA 16932",BrittanyPierce@Stewart-Thompson.com,Camera,Electronics
SPL-039,"Sparks, Nielsen and Richardson",Brian Cuevas,602-380-2850,"90174 Cook Mills, New Pamelahaven, NV 51714","BrianCuevas@Sparks,NielsenandRichardson.com",Paper Shredder,Office Supplies
SPL-040,Melton-Lee,Omar Rivas,214-834-2323,"10329 Daniel Ford, Moranmouth, CT 06023",OmarRivas@Melton-Lee.com,Smartphone,Electronics
SPL-041,Martin-Alvarez,Jennifer Hernandez,602-300-8798,"46368 Haynes Ways, South Donald, MD 37015",JenniferHernandez@Martin-Alvarez.com,Vacuum Cleaner,Cleaning & Household Essentials
SPL-042,Miller-Davis,Rebecca Cardenas,408-330-8773,"75731 Melissa Station Apt. 652, Christophermouth, KS 32154",RebeccaCardenas@Miller-Davis.com,Office Chair,Furniture
SPL-043,"Humphrey, Conway and James",Mark Snyder,212-603-8305,"8559 Reyes Lodge, North Rebecca, MT 94181","MarkSnyder@Humphrey,ConwayandJames.com",Whiteboard,Office Supplies
SPL-044,Rivas-Wilson,Elizabeth Lawrence,619-705-3027,"Unit 2181 Box 6786, DPO AP 84265",ElizabethLawrence@Rivas-Wilson.com,Smart Lock,Smart Home Devices
SPL-045,Johnson-Lee,Jennifer Adams,619-592-5190,"9345 Simmons Way Apt. 697, Charlesview, NJ 78061",JenniferAdams@Johnson-Lee.com,Laundry Detergent,Cleaning & Household Essentials
SPL-046,"Garcia, Sosa and Carr",Martin Clark,210-319-5400,"346 Frazier Rue Suite 266, North Taylor, HI 90275","MartinClark@Garcia,SosaandCarr.com",Backpack,Accessories
SPL-047,Shannon-White,Jessica Ingram,214-119-6384,"615 Jasmine Forest Suite 541, West Gregorychester, RI 69085",JessicaIngram@Shannon-White.com,Air Fryer,Home & Kitchen
SPL-048,Shields Ltd,Donna York,210-123-1366,"1900 Fisher Forges, Richardsonberg, ND 02216",DonnaYork@ShieldsLtd.com,Wooden Table,Furniture
SPL-049,Boyd Inc,Lindsay Harris,210-428-6943,"24462 Little Center, Timothybury, MO 26993",LindsayHarris@BoydInc.com,Cooking Utensils,Home & Kitchen
SPL-050,"Vega, Williams and Chen",Danielle Robinson,210-341-1653,"3400 Vargas Wells, Jamesfurt, MA 37407","DanielleRobinson@Vega,WilliamsandChen.com",Handbag,Accessories
SPL-051,"Thomas, Tucker and Knight",Melody Griffith,212-803-5591,"9159 Savannah Glens Suite 153, East Erin, NY 19773","MelodyGriffith@Thomas,TuckerandKnight.com",Handbag,Accessories
SPL-052,"Davis, Jordan and Moore",David Martinez,619-899-2276,"USNV Hughes, FPO AA 18409","DavidMartinez@Davis,JordanandMoore.com",Headphones,Electronics
SPL-053,Delgado-Reyes,Mary Jacobs,602-179-5021,"3757 Christopher Neck Apt. 264, East Tammy, OH 16803",MaryJacobs@Delgado-Reyes.com,Voice Assistant,Smart Home Devices
SPL-054,Smith LLC,Trevor Gaines,619-489-5836,"52857 Gerald Stravenue, Lake Morgan, ME 96280",TrevorGaines@SmithLLC.com,Wallet,Accessories
SPL-055,"Keith, Howell and Allen",James Garner,619-958-7827,"Unit 3286 Box 4100, DPO AE 90709","JamesGarner@Keith,HowellandAllen.com",Bed Frame,Furniture
SPL-056,Hall Inc,Brenda Bishop,619-532-5603,"50725 Kendra Highway, Anthonyville, GA 61000",BrendaBishop@HallInc.com,Light Bulbs,Smart Home Devices
SPL-057,Callahan-Parker,Douglas Barnett,323-649-3537,"744 Amanda Locks Apt. 201, West Cindy, CA 77913",DouglasBarnett@Callahan-Parker.com,Handbag,Accessories
SPL-058,"Miller, Wright and Phillips",James Wagner,312-933-6304,"PSC 3294, Box 2644, APO AP 35826","JamesWagner@Miller,WrightandPhillips.com",Stapler,Office Supplies
SPL-059,Williams-Cobb,Robin Marks,713-325-7812,"777 Warren Fields, Joseville, NJ 16924",RobinMarks@Williams-Cobb.com,Camera,Electronics
SPL-060,Jones Ltd,Dr. Jacob Navarro,602-252-8713,"30848 Camacho Cliff Suite 517, Jaredburgh, SC 00559",Dr.JacobNavarro@Jones Ltd.com,Stapler,Office Supplies
SPL-061,"Price, Jones and Holloway",Lindsey Wright,312-779-7014,"7172 Vicki Grove, Port Brandontown, NJ 59340","LindseyWright@Price,JonesandHolloway.com",Wooden Table,Furniture
SPL-062,Johns-Sanchez,John Jackson,713-839-3289,"672 Jeffrey Causeway Apt. 743, West Michaelland, VA 86070",JohnJackson@Johns-Sanchez.com,Smart Lock,Smart Home Devices
SPL-063,Snyder Group,Alex Armstrong,210-339-8855,"19512 Bridges Ford, Ramirezstad, AL 85758",AlexArmstrong@SnyderGroup.com,File Cabinet,Office Supplies
SPL-064,Santiago-Caldwell,Richard Tate,210-560-8711,"12214 Jeffrey Harbors Suite 631, Annburgh, WI 48402",RichardTate@Santiago-Caldwell.com,Wristwatch,Accessories
SPL-065,"Watts, Johnson and Kelly",Richard Beck,215-973-8624,"PSC 3140, Box 1635, APO AA 68348","RichardBeck@Watts,JohnsonandKelly.com",Smart Thermostat,Smart Home Devices
SPL-066,Wall Group,Melissa Chambers,215-650-3393,"884 Farrell Radial Suite 952, Lake Jennifer, NH 65861",MelissaChambers@WallGroup.com,Microwave Oven,Home & Kitchen
SPL-067,"Brown, Gutierrez and Allen",Christopher Goodwin,210-767-7878,"13503 Anthony Burg, Robertsonborough, MT 44793","ChristopherGoodwin@Brown,GutierrezandAllen.com",Light Bulbs,Smart Home Devices
SPL-068,Smith Group,Philip Santana,312-325-8479,"12526 Lawson Dale, East Kelly, IN 24877",PhilipSantana@SmithGroup.com,Headphones,Electronics
SPL-069,"Hampton, Larson and Hill",Gabriel Parker,713-522-3096,"806 Williams Estate, Juanland, LA 66091","GabrielParker@Hampton,LarsonandHill.com",Broom,Cleaning & Household Essentials
SPL-070,Daniels Inc,Cheryl Little,602-562-5093,"547 Zachary Union Suite 591, Port Kari, NM 31784",CherylLittle@DanielsInc.com,File Cabinet,Office Supplies
SPL-071,Stewart and Sons,Jose Murphy,312-139-5286,"46931 Dawn Rapid Suite 706, Michelleside, MD 52503",Murphy@Stewart and Sons.com,Wristwatch,Accessories
SPL-072,Anderson-Rivas,Danielle Rogers,214-316-1065,"18268 Tyler Hollow, Lake Loriview, AR 07767",DanielleRogers@Anderson-Rivas.com,Broom,Cleaning & Household Essentials
SPL-073,Lawson LLC,Suzanne Parker,602-956-1604,"660 Brandon Stravenue, New Chase, ND 53147",SuzanneParker@LawsonLLC.com,Handbag,Accessories
SPL-074,Anderson-Kennedy,Valerie Jackson,323-337-8972,"2651 Davenport Turnpike Suite 441, Lake Patrickfurt, OR 06893",ValerieJackson@Anderson-Kennedy.com,Smart Plug,Smart Home Devices
SPL-075,Rojas-Wilson,Lisa Barnett,210-924-7799,"73228 Bowman Highway Suite 975, Josephborough, VT 11874",LisaBarnett@Rojas-Wilson.com,Smartphone,Electronics
SPL-076,"Oconnor, Hale and Guerrero",Suzanne Delacruz,212-566-2364,"013 Medina Bridge Suite 536, Port Jennifer, NC 83497","SuzanneDelacruz@Oconnor,HaleandGuerrero.com",Stapler,Office Supplies
SPL-077,Collins and Sons,Richard Simmons,408-984-4149,"38971 Salazar Vista, East Amy, MS 93987",Simmons@Collins and Sons.com,Broom,Cleaning & Household Essentials
SPL-078,"Stokes, Nicholson and Dean",Rickey Grimes,214-793-3877,"28559 Philip Village, West Brianborough, NY 38285","RickeyGrimes@Stokes,NicholsonandDean.com",Sunglasses,Accessories
SPL-079,"Miller, Proctor and Arias",Desiree Mclaughlin,312-490-9485,"113 Jim Locks, Brendanmouth, MS 57714","DesireeMclaughlin@Miller,ProctorandArias.com",Smart Thermostat,Smart Home Devices
SPL-080,Valenzuela-Smith,Peter Clark,210-573-5753,"7571 Kidd Ranch Suite 238, Williamston, MD 23258",PeterClark@Valenzuela-Smith.com,Smart Lock,Smart Home Devices
SPL-081,Flores-Villegas,Keith Smith,323-903-9512,"01591 Lee Rue, South Aaronton, SC 20043",KeithSmith@Flores-Villegas.com,Handbag,Accessories
SPL-082,Gibbs Inc,Victoria Ward,212-392-3333,"82442 Sarah Fork, West Elizabethmouth, AL 60245",VictoriaWard@GibbsInc.com,Belt,Accessories
SPL-083,"Walls, Ortega and Booth",John Hogan,619-771-3760,"4496 Alexandria Port, North Melissamouth, MT 02127","JohnHogan@Walls,OrtegaandBooth.com",Dish Soap,Cleaning & Household Essentials
SPL-084,Hall PLC,Thomas Sanchez,212-940-7141,"4290 Caroline Way Suite 735, South Valerie, ND 22165",ThomasSanchez@HallPLC.com,Stapler,Office Supplies
SPL-085,Richardson-Thompson,Tanya Gibson,713-687-8309,"27619 Cervantes Isle Suite 582, New Michael, TN 34122",TanyaGibson@Richardson-Thompson.com,Sunglasses,Accessories
SPL-086,"Robinson, Keller and Holder",Taylor Miller,408-712-3899,"77196 Matthew Causeway Suite 409, Charlesberg, MN 07741","TaylorMiller@Robinson,KellerandHolder.com",Voice Assistant,Smart Home Devices
SPL-087,"Tate, Gonzalez and Ramos",Terrence Hurley,408-590-9505,"7177 Collins Ramp, Luisville, NH 15432","TerrenceHurley@Tate,GonzalezandRamos.com",Broom,Cleaning & Household Essentials
SPL-088,"Key, Carrillo and Campbell",Joshua Murray,212-973-5659,"30343 Hill Stream, New Joseshire, MI 31567","JoshuaMurray@Key,CarrilloandCampbell.com",Coffee Maker,Home & Kitchen
SPL-089,Parker-Oconnor,Christopher Edwards,713-872-8871,"205 Jerry Manors Apt. 577, South Barbarafort, OH 61244",ChristopherEdwards@Parker-Oconnor.com,Bookshelf,Furniture
SPL-090,"Watkins, Taylor and Rojas",Mary Garcia,212-340-6981,"013 Walker Crossing, Ashleyland, HI 88422","MaryGarcia@Watkins,TaylorandRojas.com",Disinfectant Spray,Cleaning & Household Essentials
SPL-091,Brown LLC,Angela Harris,713-915-6691,"USNS Khan, FPO AP 13745",AngelaHarris@BrownLLC.com,Stapler,Office Supplies
SPL-092,"Smith, Nguyen and Day",John Campos,312-838-3482,"2142 Amy Shores, Thomasborough, VA 40301","JohnCampos@Smith,NguyenandDay.com",Office Chair,Furniture
SPL-093,Cuevas-Lucas,Lorraine Love,210-947-3874,"9646 Susan Plains, West Danielhaven, MI 74254",LorraineLove@Cuevas-Lucas.com,Voice Assistant,Smart Home Devices
SPL-094,Gray PLC,Christopher Chavez,312-324-6726,"51719 Susan Manor, South Johnside, TN 93804",ChristopherChavez@GrayPLC.com,Toaster,Home & Kitchen
SPL-095,"Smith, Morgan and Liu",Robin Wright,312-360-3098,"7512 Sanders Isle, South Larry, KY 14293","RobinWright@Smith,MorganandLiu.com",Tablet,Electronics
SPL-096,Carroll-Gay,Lori Smith,713-308-7851,"3140 Kyle Forges Apt. 803, West Patriciashire, CT 69528",LoriSmith@Carroll-Gay.com,Gaming Console,Electronics
SPL-097,Palmer Ltd,Christopher Howell,602-805-5668,"45372 Thomas Lock, Villegaston, MT 77246",ChristopherHowell@PalmerLtd.com,Belt,Accessories
SPL-098,Bryant Ltd,Christina Hebert,602-120-7706,"26993 Terri Plaza Suite 431, Lisaport, RI 16819",ChristinaHebert@BryantLtd.com,Broom,Cleaning & Household Essentials
SPL-099,Martinez-Aguirre,Kristen Little,215-630-8587,"622 Andrea Ridges, New Justin, NJ 20255",KristenLittle@Martinez-Aguirre.com,Tablet,Electronics
SPL-100,Moore LLC,Jennifer Melton,713-539-3856,"0666 Wayne Square, Wheelerstad, RI 16490",JenniferMelton@MooreLLC.com,Stapler,Office Supplies
SPL-101,"Logan, Scott and Howell",Jeffery Brown,312-169-7798,"6037 Smith Pike Apt. 913, West Michael, CT 33764","JefferyBrown@Logan,ScottandHowell.com",Gaming Console,Electronics
SPL-102,Cobb and Sons,Bianca Johnson,602-136-8003,"393 Sanders Centers Suite 580, Franklinville, IN 00556",Johnson@Cobb and Sons.com,Sunglasses,Accessories
SPL-103,"Moore, Velasquez and Morgan",Heather Snow,214-426-4089,"926 George Orchard, Wilkersonton, MO 50679","HeatherSnow@Moore,VelasquezandMorgan.com",Air Fryer,Home & Kitchen
SPL-104,Davies-Patterson,Matthew Hoffman,602-313-8836,"243 Dunlap Cove, Jenniferfurt, AR 74812",MatthewHoffman@Davies-Patterson.com,Coffee Maker,Home & Kitchen
SPL-105,"Edwards, Burton and Harrison",Sarah Carey,408-320-3327,"067 Montes Bridge Apt. 737, West Alyssaville, NY 50287","SarahCarey@Edwards,BurtonandHarrison.com",Wallet,Accessories
SPL-106,White and Sons,Andrew Thomas,215-641-6903,"PSC 4054, Box 0629, APO AE 63683",Thomas@White and Sons.com,Motion Sensor,Smart Home Devices
SPL-107,Porter Ltd,Emily Callahan,312-501-2489,"675 Kramer Way, New Amyborough, RI 17175",EmilyCallahan@PorterLtd.com,Security Camera,Smart Home Devices
SPL-108,"Thomas, Gill and Welch",Daniel Roy Jr.,215-686-7718,"978 Lisa Pine, Lake Gregoryhaven, DC 29352","DanielRoyJr@Thomas,GillandWelch.com",Cooking Utensils,Home & Kitchen
SPL-109,Brown-Romero,James Mcdonald,323-168-1176,"Unit 5873 Box 4728, DPO AA 50094",JamesMcdonald@Brown-Romero.com,Bookshelf,Furniture
SPL-110,James-Kirby,Joyce Reynolds,713-191-7508,"077 Brittany Tunnel, Port Mackenzie, SC 98692",JoyceReynolds@James-Kirby.com,Whiteboard,Office Supplies
SPL-111,"Smith, Ford and Moore",David Campbell,214-313-2257,"236 Susan Center Suite 615, North John, KY 05181","DavidCampbell@Smith,FordandMoore.com",Smart Lock,Smart Home Devices
SPL-112,Bennett-Obrien,Mr. Zachary Castillo,214-826-8803,"44435 Obrien View, Gregoryport, LA 86393",Mr.ZacharyCastillo@Bennett-Obrien.com,File Cabinet,Office Supplies
SPL-113,Gray LLC,Alexandra Jackson,323-326-7794,"33487 Allen Drive Suite 850, Port Douglaschester, TN 64583",AlexandraJackson@GrayLLC.com,Laundry Detergent,Cleaning & Household Essentials
SPL-114,"Aguilar, Henson and Lucas",Shawn Bird,602-220-3971,"678 Jones Bridge Suite 897, Garciaberg, TN 38566","ShawnBird@Aguilar,HensonandLucas.com",Scarf,Accessories
SPL-115,"Jones, Castro and Lang",Nicholas Adams,713-999-9612,"683 Daniel Knoll, Washingtonshire, OR 03487","NicholasAdams@Jones,CastroandLang.com",Belt,Accessories
SPL-116,Sanders PLC,Paul Peters,215-316-2162,"541 Pitts Extensions, Hernandezshire, RI 25841",PaulPeters@SandersPLC.com,Dish Soap,Cleaning & Household Essentials
SPL-117,Barnett and Sons,Susan Smith,210-479-2285,"663 Vega Ville Apt. 064, New Emma, AR 61230",Smith@Barnett and Sons.com,Backpack,Accessories
SPL-118,Payne PLC,Stanley Berg,312-886-6889,"PSC 7835, Box 8984, APO AP 48485",StanleyBerg@PaynePLC.com,Bookshelf,Furniture
SPL-119,Moore-Stokes,Nicole Hunt,323-117-4652,"8611 Buchanan Glen, South Maryburgh, NY 46345",NicoleHunt@Moore-Stokes.com,Gaming Console,Electronics
SPL-120,"Garcia, Guzman and Strickland",John Brown,713-238-6656,"35106 Rita Grove, New Audrey, ND 23458","JohnBrown@Garcia,GuzmanandStrickland.com",Light Bulbs,Smart Home Devices
SPL-121,"Williamson, Arnold and Christensen",Michael Chavez,619-441-1109,"3437 Garcia Prairie Apt. 547, New Michellestad, FL 93984","MichaelChavez@Williamson,ArnoldandChristensen.com",Office Chair,Furniture
SPL-122,Lam and Sons,Frank Smith,214-533-9242,"5433 Powell River, North Savannahshire, WV 77453",Smith@Lam and Sons.com,Smartphone,Electronics
SPL-123,Mccarthy Group,Lisa Castro,602-753-5976,"568 Scott Meadows Apt. 105, Hooverside, AK 58343",LisaCastro@MccarthyGroup.com,Stapler,Office Supplies
SPL-124,May-Walker,Barbara Conner,312-774-2325,"41994 Jamie Rapid, New Michael, ND 33710",BarbaraConner@May-Walker.com,Wallet,Accessories
SPL-125,Adams-Thomas,Henry Edwards,210-848-2765,"845 Frazier Gateway Suite 755, North Michaelfurt, MS 52305",HenryEdwards@Adams-Thomas.com,Bed Frame,Furniture
SPL-126,Anderson-Curtis,Victoria Johnson,323-768-2217,"644 Joy Extensions Apt. 659, North Alexishaven, MI 88813",VictoriaJohnson@Anderson-Curtis.com,Wallet,Accessories
SPL-127,"Johnson, Lewis and Solis",Natasha Hurley,323-638-3182,"30324 Griffin Gardens, West Jeffrey, ME 02050","NatashaHurley@Johnson,LewisandSolis.com",Stapler,Office Supplies
SPL-128,"Villanueva, Boyd and Lyons",Erin Powell,214-521-5754,"776 Jonathan Station, Youngstad, ME 61254","ErinPowell@Villanueva,BoydandLyons.com",Wallet,Accessories
SPL-129,"Wright, Eaton and Ellis",Dr. William Diaz,602-556-7663,"753 Cook Harbor, Hillside, MT 89301","DrWilliamDiaz@Wright,EatonandEllis.com",Sunglasses,Accessories
SPL-130,Bradshaw and Sons,Crystal Lyons,214-324-1754,"7060 James Mews Suite 138, New Aaron, DE 89893",Lyons@Bradshaw and Sons.com,Mop Set,Cleaning & Household Essentials
SPL-131,Turner Ltd,Andrew Wood,312-572-8825,"541 Mackenzie Inlet Apt. 947, Lake Jennifer, CA 48583",AndrewWood@TurnerLtd.com,Dining Table,Furniture
SPL-132,"Carrillo, Foster and Williams",Ashley Mcintosh,619-211-2413,"17766 Jose Way, West Jonathan, WV 56259","AshleyMcintosh@Carrillo,FosterandWilliams.com",Camera,Electronics
SPL-133,"Williams, Sosa and Wilkinson",Brett Morris,210-301-2202,"PSC 1677, Box 0751, APO AE 12480","BrettMorris@Williams,SosaandWilkinson.com",Voice Assistant,Smart Home Devices
SPL-134,"Rose, Allen and Gordon",Cindy Johnson,215-465-2799,"73776 Velasquez Junction, Lake Justin, OK 04922","CindyJohnson@Rose,AllenandGordon.com",Smart Lock,Smart Home Devices
SPL-135,Jenkins-Ellis,Vincent Kaufman,713-456-7997,"Unit 5414 Box 8855, DPO AA 56066",VincentKaufman@Jenkins-Ellis.com,Air Fryer,Home & Kitchen
SPL-136,Murphy PLC,Alyssa Thompson,619-917-5377,"039 Cassandra Turnpike Suite 578, Lake Stacey, CA 24205",AlyssaThompson@MurphyPLC.com,Backpack,Accessories
SPL-137,"White, Calderon and Jones",Tracy Johnson,602-850-9297,"644 Stephanie Expressway, Lake Timothy, DC 55558","TracyJohnson@White,CalderonandJones.com",Wooden Table,Furniture
SPL-138,"Steele, Gonzalez and Jenkins",Rebecca Schmidt,408-944-5592,"770 Nicholas Pike, East Jason, NJ 18178","RebeccaSchmidt@Steele,GonzalezandJenkins.com",Gaming Console,Electronics
SPL-139,Russell LLC,Traci Baker,215-938-1232,"007 Sara Fords Apt. 634, Wardchester, DE 54570",TraciBaker@RussellLLC.com,Printer,Office Supplies
SPL-140,Jones-White,Jessica Hanna,323-331-6347,"30587 Allison Squares, Kaylamouth, IL 17424",JessicaHanna@Jones-White.com,Smart Lock,Smart Home Devices
SPL-141,"Smith, Arnold and Baker",Kyle Thomas,214-356-7714,"33690 David Island Suite 124, Allentown, WA 76499","KyleThomas@Smith,ArnoldandBaker.com",Notebook,Office Supplies
SPL-142,Huffman-Larson,Elizabeth Ryan,408-319-1944,"62463 Carla Station Apt. 261, Lake Antonio, VT 08581",ElizabethRyan@Huffman-Larson.com,Stapler,Office Supplies
SPL-143,Dunn-Rose,Victoria Hall,602-389-6399,"67808 Danielle Lakes, East Ericport, AZ 92183",VictoriaHall@Dunn-Rose.com,Paper Shredder,Office Supplies
SPL-144,Silva-Cisneros,Judy Adams,602-662-8889,"267 Smith Turnpike Apt. 956, South Annafort, KY 83592",JudyAdams@Silva-Cisneros.com,Disinfectant Spray,Cleaning & Household Essentials
SPL-145,Gutierrez-Smith,Sandra Garza,323-315-5274,"40773 Brittany Hollow Apt. 436, Andretown, WA 78002",SandraGarza@Gutierrez-Smith.com,Mop Set,Cleaning & Household Essentials
SPL-146,"Torres, Barker and Kelly",Adrian Holden,312-741-7773,"1638 Sara Field Apt. 337, Lake Amanda, DC 33006","AdrianHolden@Torres,BarkerandKelly.com",Paper Shredder,Office Supplies
SPL-147,Morgan and Sons,Gary Mack,210-542-3738,"Unit 6947 Box 9399, DPO AP 03591",Mack@Morgan and Sons.com,Desk Lamp,Office Supplies
SPL-148,Jimenez-Collins,Tyler Douglas,212-109-7854,"0671 Holmes Keys Suite 808, East Sara, AK 71236",TylerDouglas@Jimenez-Collins.com,Sunglasses,Accessories
SPL-149,"Porter, Watson and Lewis",Melissa Tran,312-847-1799,"6084 Samuel Mill Suite 030, New Rachel, WY 56176","MelissaTran@Porter,WatsonandLewis.com",Mop Set,Cleaning & Household Essentials
SPL-150,Nichols-Esparza,Anthony Jacobs,215-296-6104,"45249 Kennedy Pines, Brandyhaven, MS 80499",AnthonyJacobs@Nichols-Esparza.com,Smart Lock,Smart Home Devices
